"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"271",0,0,FALSE,4,6,150,1,31
"272",0.75,0,FALSE,4,6,150,2,31
"273",1.5,0,FALSE,4,6,150,3,31
"274",0,0.75,FALSE,4,6,150,4,31
"275",0.75,0.75,FALSE,4,6,150,5,31
"276",1.5,0.75,FALSE,4,6,150,6,31
"277",0,1.5,FALSE,4,6,150,7,31
"278",0.75,1.5,FALSE,4,6,150,8,31
"279",1.5,1.5,FALSE,4,6,150,9,31
"280",0,0,FALSE,4,6,150,1,32
"281",0.75,0,FALSE,4,6,150,2,32
"282",1.5,0,FALSE,4,6,150,3,32
"283",0,0.75,FALSE,4,6,150,4,32
"284",0.75,0.75,FALSE,4,6,150,5,32
"285",1.5,0.75,FALSE,4,6,150,6,32
"286",0,1.5,FALSE,4,6,150,7,32
"287",0.75,1.5,FALSE,4,6,150,8,32
"288",1.5,1.5,FALSE,4,6,150,9,32
"289",0,0,FALSE,4,6,150,1,33
"290",0.75,0,FALSE,4,6,150,2,33
"291",1.5,0,FALSE,4,6,150,3,33
"292",0,0.75,FALSE,4,6,150,4,33
"293",0.75,0.75,FALSE,4,6,150,5,33
"294",1.5,0.75,FALSE,4,6,150,6,33
"295",0,1.5,FALSE,4,6,150,7,33
"296",0.75,1.5,FALSE,4,6,150,8,33
"297",1.5,1.5,FALSE,4,6,150,9,33
"298",0,0,FALSE,4,6,150,1,34
"299",0.75,0,FALSE,4,6,150,2,34
"300",1.5,0,FALSE,4,6,150,3,34
"301",0,0.75,FALSE,4,6,150,4,34
"302",0.75,0.75,FALSE,4,6,150,5,34
"303",1.5,0.75,FALSE,4,6,150,6,34
"304",0,1.5,FALSE,4,6,150,7,34
"305",0.75,1.5,FALSE,4,6,150,8,34
"306",1.5,1.5,FALSE,4,6,150,9,34
"307",0,0,FALSE,4,6,150,1,35
"308",0.75,0,FALSE,4,6,150,2,35
"309",1.5,0,FALSE,4,6,150,3,35
"310",0,0.75,FALSE,4,6,150,4,35
"311",0.75,0.75,FALSE,4,6,150,5,35
"312",1.5,0.75,FALSE,4,6,150,6,35
"313",0,1.5,FALSE,4,6,150,7,35
"314",0.75,1.5,FALSE,4,6,150,8,35
"315",1.5,1.5,FALSE,4,6,150,9,35
"316",0,0,FALSE,4,6,150,1,36
"317",0.75,0,FALSE,4,6,150,2,36
"318",1.5,0,FALSE,4,6,150,3,36
"319",0,0.75,FALSE,4,6,150,4,36
"320",0.75,0.75,FALSE,4,6,150,5,36
"321",1.5,0.75,FALSE,4,6,150,6,36
"322",0,1.5,FALSE,4,6,150,7,36
"323",0.75,1.5,FALSE,4,6,150,8,36
"324",1.5,1.5,FALSE,4,6,150,9,36
"325",0,0,FALSE,4,6,150,1,37
"326",0.75,0,FALSE,4,6,150,2,37
"327",1.5,0,FALSE,4,6,150,3,37
